# codec in_bits encoded back_bits
bf16 8ced1ee5 8ced 8ced0000
bf16 c8e03972 c8e0 c8e00000
bf16 cb5352fd cb53 cb530000
bf16 83646357 8364 83640000
bf16 1aafe7ad 1ab0 1ab00000
bf16 c5802afa c580 c5800000
bf16 07117d25 0711 07110000
bf16 ca2fd6c3 ca30 ca300000
bf16 35d6d15f 35d7 35d70000
bf16 54b06e8e 54b0 54b00000
bf16 1784b32d 1785 17850000
bf16 1e061850 1e06 1e060000
bf16 48ecc995 48ed 48ed0000
bf16 cb116c67 cb11 cb110000
bf16 f90bfac7 f90c f90c0000
bf16 7e72ec3e 7e73 7e730000
bf16 193e3b5b 193e 193e0000
bf16 f9485634 f948 f9480000
bf16 2a2e45d2 2a2e 2a2e0000
bf16 23178c14 2318 23180000
bf16 d8bae8f9 d8bb d8bb0000
bf16 5e1eeff8 5e1f 5e1f0000
bf16 0ef7cd73 0ef8 0ef80000
bf16 f66c2933 f66c f66c0000
bf16 08bc92be 08bd 08bd0000
bf16 5e50300e 5e50 5e500000
bf16 164428f4 1644 16440000
bf16 708ebeb8 708f 708f0000
bf16 33a7d3cb 33a8 33a80000
bf16 a923fb3d a924 a9240000
bf16 54cceecf 54cd 54cd0000
bf16 846a82e0 846b 846b0000
bf16 02530924 0253 02530000
bf16 296e071e 296e 296e0000
bf16 73026910 7302 73020000
bf16 2a85b433 2a86 2a860000
bf16 e8352591 e835 e8350000
bf16 926182dd 9262 92620000
bf16 88ceee33 88cf 88cf0000
bf16 524202ee 5242 52420000
bf16 1520ec80 1521 15210000
bf16 cc669e22 cc67 cc670000
bf16 623aa636 623b 623b0000
bf16 961df26b 961e 961e0000
bf16 93fc3378 93fc 93fc0000
bf16 95d3cadc 95d4 95d40000
bf16 8589a8f7 858a 858a0000
bf16 716ecb8b 716f 716f0000
bf16 518fb108 5190 51900000
bf16 fc2d8c98 fc2e fc2e0000
bf16 1bb0e2f4 1bb1 1bb10000
bf16 fde755e5 fde7 fde70000
bf16 d897a208 d898 d8980000
bf16 030902cc 0309 03090000
bf16 bf02c0ee bf03 bf030000
bf16 5ced0ff0 5ced 5ced0000
bf16 3c6efd48 3c6f 3c6f0000
bf16 c548a7c7 c549 c5490000
bf16 f81cced1 f81d f81d0000
bf16 1f8f9f99 1f90 1f900000
bf16 75d23a34 75d2 75d20000
bf16 a698746d a698 a6980000
bf16 bbb7099e bbb7 bbb70000
bf16 71fa0919 71fa 71fa0000
bf16 6e4b647a 6e4b 6e4b0000
bf16 9ce16a70 9ce1 9ce10000
bf16 dc3d1f30 dc3d dc3d0000
bf16 daba96a4 dabb dabb0000
bf16 8b947add 8b94 8b940000
bf16 221cfde3 221d 221d0000
bf16 9c4bd6c2 9c4c 9c4c0000
bf16 02032bb8 0203 02030000
bf16 13422df3 1342 13420000
bf16 7a8863f5 7a88 7a880000
bf16 905a018b 905a 905a0000
bf16 fd6907ba fd69 fd690000
bf16 9f1197d8 9f12 9f120000
bf16 7898b631 7899 78990000
bf16 72461b9b 7246 72460000
bf16 8e3b494d 8e3b 8e3b0000
bf16 42ba5b06 42ba 42ba0000
bf16 96926fb4 9692 96920000
bf16 3a0ed686 3a0f 3a0f0000
bf16 114f3a87 114f 114f0000
bf16 fb3150b2 fb31 fb310000
bf16 ca884fc3 ca88 ca880000
bf16 df2c37db df2c df2c0000
bf16 8343a34e 8344 83440000
bf16 3cc5ff69 3cc6 3cc60000
bf16 7ebaa285 7ebb 7ebb0000
bf16 3bb09c99 3bb1 3bb10000
bf16 3900d6e0 3901 39010000
bf16 03150bc5 0315 03150000
bf16 3832e34a 3833 38330000
bf16 9dc924cd 9dc9 9dc90000
bf16 5a125524 5a12 5a120000
bf16 19f039c5 19f0 19f00000
bf16 6288b291 6289 62890000
bf16 1f8a909c 1f8b 1f8b0000
bf16 c3c2d81e c3c3 c3c30000
bf16 ba86b049 ba87 ba870000
bf16 f8d86ae3 f8d8 f8d80000
bf16 aa482aea aa48 aa480000
bf16 d200b8cb d201 d2010000
bf16 79a5edc8 79a6 79a60000
bf16 fda2cf7f fda3 fda30000
bf16 2f8d4b91 2f8d 2f8d0000
bf16 58981f20 5898 58980000
bf16 ca539740 ca54 ca540000
bf16 2e364dce 2e36 2e360000
bf16 f8de52f0 f8de f8de0000
bf16 aad8dcac aad9 aad90000
bf16 33094f7d 3309 33090000
bf16 0b6c3566 0b6c 0b6c0000
bf16 55096209 5509 55090000
bf16 0326f14d 0327 03270000
bf16 3c9a6db4 3c9a 3c9a0000
bf16 c508e39d c509 c5090000
bf16 ae142366 ae14 ae140000
bf16 7f38bfe6 7f39 7f390000
bf16 610b0666 610b 610b0000
bf16 caeb8157 caec caec0000
bf16 8b523424 8b52 8b520000
bf16 c9de27d3 c9de c9de0000
bf16 e271c7c3 e272 e2720000
bf16 0c85a17e 0c86 0c860000
bf16 17dfa22f 17e0 17e00000
bf16 e9f00e88 e9f0 e9f00000
bf16 67cbb7d4 67cc 67cc0000
bf16 edd9ecd5 edda edda0000
bf16 7cc1baa7 7cc2 7cc20000
bf16 e269ac9c e26a e26a0000
bf16 fe9328c0 fe93 fe930000
bf16 d0c31e87 d0c3 d0c30000
bf16 dc1955c2 dc19 dc190000
bf16 e12d15df e12d e12d0000
bf16 e6a5fd91 e6a6 e6a60000
bf16 502e7e98 502e 502e0000
bf16 e3cfff27 e3d0 e3d00000
bf16 d15fc100 d160 d1600000
bf16 5af537e2 5af5 5af50000
bf16 ff455f77 ff45 ff450000
bf16 f00ea976 f00f f00f0000
bf16 b8abc822 b8ac b8ac0000
bf16 0da21c51 0da2 0da20000
bf16 71254fb5 7125 71250000
bf16 7cef4075 7cef 7cef0000
bf16 940ee9ee 940f 940f0000
bf16 877986b2 877a 877a0000
bf16 cbe97927 cbe9 cbe90000
bf16 7917a9dc 7918 79180000
bf16 959e262e 959e 959e0000
bf16 84d3be66 84d4 84d40000
bf16 e5ae4375 e5ae e5ae0000
bf16 791265ed 7912 79120000
bf16 dd2f9ad1 dd30 dd300000
bf16 cbb4a9fd cbb5 cbb50000
bf16 1548bb78 1549 15490000
bf16 f6803bd4 f680 f6800000
bf16 e99816a2 e998 e9980000
bf16 0bc922a9 0bc9 0bc90000
bf16 86ad303d 86ad 86ad0000
bf16 82d154d8 82d1 82d10000
bf16 fe775fe1 fe77 fe770000
bf16 d209140b d209 d2090000
bf16 1e09c0de 1e0a 1e0a0000
bf16 8b6ac25a 8b6b 8b6b0000
bf16 8c93ac28 8c94 8c940000
bf16 ed18eb06 ed19 ed190000
bf16 200fbe85 2010 20100000
bf16 7aa0d556 7aa1 7aa10000
bf16 3b94bf91 3b95 3b950000
bf16 89233eba 8923 89230000
bf16 7d8014fe 7d80 7d800000
bf16 cbd4da35 cbd5 cbd50000
bf16 9d3922ac 9d39 9d390000
bf16 975d7273 975d 975d0000
bf16 280de0cb 280e 280e0000
bf16 58cb867c 58cc 58cc0000
bf16 106a7c1b 106a 106a0000
bf16 47fc7eeb 47fc 47fc0000
bf16 c514f00c c515 c5150000
bf16 7ceb198b 7ceb 7ceb0000
bf16 2e582c7e 2e58 2e580000
bf16 5bc59564 5bc6 5bc60000
bf16 18ce66e7 18ce 18ce0000
bf16 af54a242 af55 af550000
bf16 63f34611 63f3 63f30000
bf16 2e015435 2e01 2e010000
bf16 f5438f1e f544 f5440000
bf16 324a7a05 324a 324a0000
bf16 1350eb45 1351 13510000
bf16 e03b45cc e03b e03b0000
bf16 e44f19f9 e44f e44f0000
bf16 4795e523 4796 47960000
bf16 a60ff672 a610 a6100000
bf16 63b4d81b 63b5 63b50000
bf16 0e58fa25 0e59 0e590000
bf16 2437e12a 2438 24380000
bf16 7a9eacac 7a9f 7a9f0000
bf16 97357022 9735 97350000
bf16 c87ddd19 c87e c87e0000
bf16 40c9838a 40ca 40ca0000
bf16 71ae7f61 71ae 71ae0000
bf16 972acf77 972b 972b0000
bf16 e0da516d e0da e0da0000
bf16 cfd8eb9d cfd9 cfd90000
bf16 4b19f82b 4b1a 4b1a0000
bf16 4170fe80 4171 41710000
bf16 09eb92a3 09ec 09ec0000
bf16 ee098c41 ee0a ee0a0000
bf16 eaa17858 eaa1 eaa10000
bf16 3730efd6 3731 37310000
bf16 7166b848 7167 71670000
bf16 28a3d4c3 28a4 28a40000
bf16 ba85ac5a ba86 ba860000
bf16 fc88b91b fc89 fc890000
bf16 f5af28ff f5af f5af0000
bf16 7be5f3a9 7be6 7be60000
bf16 b2fcae07 b2fd b2fd0000
bf16 10f3f318 10f4 10f40000
bf16 e718aad6 e719 e7190000
bf16 61b8137f 61b8 61b80000
bf16 96cefaee 96cf 96cf0000
bf16 e368ead0 e369 e3690000
bf16 e9c58e16 e9c6 e9c60000
bf16 e9dacac8 e9db e9db0000
bf16 66d9b616 66da 66da0000
bf16 32d87d76 32d8 32d80000
bf16 374f1d6e 374f 374f0000
bf16 410b3042 410b 410b0000
bf16 1f37eccb 1f38 1f380000
bf16 e38f07eb e38f e38f0000
bf16 336979cd 3369 33690000
bf16 fea1dad9 fea2 fea20000
bf16 e5cc390e e5cc e5cc0000
bf16 6c2f558a 6c2f 6c2f0000
bf16 e7ca6a45 e7ca e7ca0000
bf16 a405e470 a406 a4060000
bf16 86b708ed 86b7 86b70000
bf16 825ccfc1 825d 825d0000
bf16 9dc97138 9dc9 9dc90000
bf16 95d73ad9 95d7 95d70000
bf16 5feb9e93 5fec 5fec0000
bf16 80fa5587 80fa 80fa0000
bf16 798f7a37 798f 798f0000
bf16 f697938c f698 f6980000
bf16 0eca9bdb 0ecb 0ecb0000
bf16 8cea47d0 8cea 8cea0000
bf16 7e2bbcfd 7e2c 7e2c0000
bf16 873380be 8734 87340000
bf16 fa13eaf0 fa14 fa140000
bf16 ec1c8d2c ec1d ec1d0000
bf16 9fc53cc1 9fc5 9fc50000
bf16 acb454df acb4 acb40000
bf16 1977eaaa 1978 19780000
bf16 a8dab879 a8db a8db0000
bf16 89949ddd 8995 89950000
bf16 57e11cb8 57e1 57e10000
bf16 fd696f8c fd69 fd690000
bf16 cbcdb329 cbce cbce0000
bf16 da5ed2d7 da5f da5f0000
bf16 45277469 4527 45270000
bf16 b3c6699d b3c6 b3c60000
bf16 06c6dc06 06c7 06c70000
bf16 4858825d 4859 48590000
bf16 21f07754 21f0 21f00000
bf16 16c12396 16c1 16c10000
bf16 4d55e70b 4d56 4d560000
bf16 e7a22938 e7a2 e7a20000
bf16 8beb5dae 8beb 8beb0000
bf16 8fa590be 8fa6 8fa60000
bf16 fcadff9e fcae fcae0000
bf16 c316b38b c317 c3170000
bf16 f8585c49 f858 f8580000
bf16 439fd577 43a0 43a00000
bf16 28a6caea 28a7 28a70000
bf16 a89d5462 a89d a89d0000
bf16 0357e839 0358 03580000
bf16 2de503a7 2de5 2de50000
bf16 512a691c 512a 512a0000
bf16 3af60114 3af6 3af60000
bf16 f5cb5747 f5cb f5cb0000
bf16 5e9cd7ef 5e9d 5e9d0000
bf16 d4ee8c32 d4ef d4ef0000
bf16 e4a976c7 e4a9 e4a90000
bf16 e9d61466 e9d6 e9d60000
bf16 024d2ce4 024d 024d0000
bf16 0d8dfa13 0d8e 0d8e0000
bf16 4adbca7f 4adc 4adc0000
bf16 8fe6d0ba 8fe7 8fe70000
bf16 f6b4a3b9 f6b5 f6b50000
bf16 f7d7010d f7d7 f7d70000
bf16 574224a9 5742 57420000
bf16 49cede73 49cf 49cf0000
bf16 bc398e60 bc3a bc3a0000
bf16 32a13400 32a1 32a10000
bf16 4bc5ad3a 4bc6 4bc60000
bf16 9b903e2d 9b90 9b900000
bf16 f6269925 f627 f6270000
bf16 946ebe46 946f 946f0000
bf16 68ffc277 6900 69000000
bf16 c3ec2989 c3ec c3ec0000
bf16 c7e0ae1b c7e1 c7e10000
bf16 bb599cc1 bb5a bb5a0000
bf16 dd72df43 dd73 dd730000
bf16 4c7e92fd 4c7f 4c7f0000
bf16 77a9ea7f 77aa 77aa0000
bf16 67e75dfc 67e7 67e70000
bf16 c2ff2574 c2ff c2ff0000
bf16 7a1e4667 7a1e 7a1e0000
bf16 43db54a8 43db 43db0000
bf16 aef1da49 aef2 aef20000
bf16 36db959e 36dc 36dc0000
bf16 960cea09 960d 960d0000
bf16 b7c7f545 b7c8 b7c80000
bf16 3faf7470 3faf 3faf0000
bf16 eb39913a eb3a eb3a0000
bf16 aa96454f aa96 aa960000
bf16 10fec01d 10ff 10ff0000
bf16 a4aeff5a a4af a4af0000
bf16 3e227a6d 3e22 3e220000
bf16 e5476a2a e547 e5470000
bf16 75caa0a3 75cb 75cb0000
bf16 7a33d1c2 7a34 7a340000
bf16 8f489760 8f49 8f490000
bf16 f2536ada f253 f2530000
bf16 c96a2f91 c96a c96a0000
bf16 34cfef53 34d0 34d00000
bf16 ed34ce93 ed35 ed350000
bf16 f4704334 f470 f4700000
bf16 9e3a9d87 9e3b 9e3b0000
bf16 7691be30 7692 76920000
bf16 bdb1f332 bdb2 bdb20000
bf16 8bf61759 8bf6 8bf60000
bf16 35741af9 3574 35740000
bf16 67c4d406 67c5 67c50000
bf16 9cf9450f 9cf9 9cf90000
bf16 d32a9485 d32b d32b0000
bf16 8fb0cbaa 8fb1 8fb10000
bf16 a2ef7a46 a2ef a2ef0000
bf16 bea4b853 bea5 bea50000
bf16 71d0face 71d1 71d10000
bf16 94338a18 9434 94340000
bf16 79a94ea3 79a9 79a90000
bf16 5e7e3944 5e7e 5e7e0000
bf16 a5d9ffb5 a5da a5da0000
bf16 4325cdbd 4326 43260000
bf16 1524ff30 1525 15250000
bf16 65d1b0e4 65d2 65d20000
bf16 f47b35cc f47b f47b0000
bf16 51a1725c 51a1 51a10000
bf16 3781fdb4 3782 37820000
bf16 f518669e f518 f5180000
bf16 0bde1584 0bde 0bde0000
bf16 2febb660 2fec 2fec0000
bf16 af1ede2c af1f af1f0000
bf16 444cdef5 444d 444d0000
bf16 8e842108 8e84 8e840000
bf16 4bad5a29 4bad 4bad0000
bf16 d29edefe d29f d29f0000
bf16 3dc566b6 3dc5 3dc50000
bf16 b86e066c b86e b86e0000
bf16 4faadcb6 4fab 4fab0000
bf16 cb0563b7 cb05 cb050000
bf16 99f4defd 99f5 99f50000
bf16 eadc5739 eadc eadc0000
bf16 3a3eafeb 3a3f 3a3f0000
bf16 acd49c3f acd5 acd50000
bf16 9aa2a762 9aa3 9aa30000
bf16 e6c36ed8 e6c3 e6c30000
bf16 cdaafa0f cdab cdab0000
bf16 acdab1f8 acdb acdb0000
bf16 b3a0e252 b3a1 b3a10000
bf16 eb3aeee9 eb3b eb3b0000
bf16 087fae12 0880 08800000
bf16 bd334e62 bd33 bd330000
bf16 e7a8e936 e7a9 e7a90000
bf16 89139f04 8914 89140000
bf16 166a81c4 166b 166b0000
bf16 ee90c9a4 ee91 ee910000
bf16 a8bd7829 a8bd a8bd0000
bf16 5c8aaf96 5c8b 5c8b0000
bf16 71bdeb45 71be 71be0000
bf16 b26b4264 b26b b26b0000
bf16 bb7dbe6d bb7e bb7e0000
bf16 5ded6603 5ded 5ded0000
bf16 4ba125b5 4ba1 4ba10000
bf16 f8dc2b33 f8dc f8dc0000
bf16 42634b02 4263 42630000
bf16 1b914403 1b91 1b910000
bf16 a5e4e49f a5e5 a5e50000
bf16 c94e9b49 c94f c94f0000
bf16 337c1ae8 337c 337c0000
bf16 21635902 2163 21630000
bf16 f8161a98 f816 f8160000
bf16 e17c9389 e17d e17d0000
bf16 27608bac 2761 27610000
bf16 e6765ff9 e676 e6760000
bf16 bc22040d bc22 bc220000
bf16 5eda8bba 5edb 5edb0000
bf16 56b1721d 56b1 56b10000
bf16 b920d07b b921 b9210000
bf16 f837a2a9 f838 f8380000
bf16 b9507f84 b950 b9500000
bf16 fc7d95c3 fc7e fc7e0000
bf16 f9433c52 f943 f9430000
bf16 9440ddbd 9441 94410000
bf16 370a4d0b 370a 370a0000
bf16 8921028b 8921 89210000
bf16 cf7bd0e2 cf7c cf7c0000
bf16 72364936 7236 72360000
bf16 10fa9ee8 10fb 10fb0000
bf16 757d7296 757d 757d0000
bf16 c405827d c406 c4060000
bf16 ecb6718f ecb6 ecb60000
bf16 94b7c6fe 94b8 94b80000
bf16 ced39b4f ced4 ced40000
bf16 49d575fd 49d5 49d50000
bf16 661e1cb1 661e 661e0000
bf16 40ca4a96 40ca 40ca0000
bf16 baa98daf baaa baaa0000
bf16 fe7274b6 fe72 fe720000
bf16 1baaab8d 1bab 1bab0000
bf16 0f492453 0f49 0f490000
bf16 924e7486 924e 924e0000
bf16 5f8c0325 5f8c 5f8c0000
bf16 a9f2e0c6 a9f3 a9f30000
bf16 bc8085cc bc81 bc810000
bf16 ea25f464 ea26 ea260000
bf16 b6fb8a4b b6fc b6fc0000
bf16 d93d68e5 d93d d93d0000
bf16 92bff0a0 92c0 92c00000
bf16 344f413a 344f 344f0000
bf16 0c559bab 0c56 0c560000
bf16 be70cb38 be71 be710000
bf16 2a9f6878 2a9f 2a9f0000
bf16 1f27e57f 1f28 1f280000
bf16 bc28af32 bc29 bc290000
bf16 e1071970 e107 e1070000
bf16 278ce81a 278d 278d0000
bf16 60265554 6026 60260000
bf16 49c79489 49c8 49c80000
bf16 da9f861a daa0 daa00000
bf16 bf4b2500 bf4b bf4b0000
bf16 eae50857 eae5 eae50000
bf16 323a2410 323a 323a0000
bf16 dae72466 dae7 dae70000
bf16 aff95644 aff9 aff90000
bf16 b0356332 b035 b0350000
bf16 03d2749e 03d2 03d20000
bf16 684327bb 6843 68430000
bf16 aead8deb aeae aeae0000
bf16 e1417c46 e141 e1410000
bf16 f3f24642 f3f2 f3f20000
bf16 43603495 4360 43600000
bf16 f6ac5c56 f6ac f6ac0000
bf16 6255e2d6 6256 62560000
bf16 7124c71b 7125 71250000
bf16 8ee135d3 8ee1 8ee10000
bf16 dd4af8f8 dd4b dd4b0000
bf16 bf2fb625 bf30 bf300000
bf16 0f6054bf 0f60 0f600000
bf16 3dead9f5 3deb 3deb0000
bf16 45eed5ba 45ef 45ef0000
bf16 1ddcca4f 1ddd 1ddd0000
bf16 2f28a78a 2f29 2f290000
bf16 45c05ac2 45c0 45c00000
bf16 2a432543 2a43 2a430000
bf16 a0bdb3ca a0be a0be0000
bf16 2022e730 2023 20230000
bf16 e4a7cb1a e4a8 e4a80000
bf16 b1165e46 b116 b1160000
bf16 85ab7a75 85ab 85ab0000
bf16 e1850d02 e185 e1850000
bf16 191a58f7 191a 191a0000
bf16 61784222 6178 61780000
bf16 29aba813 29ac 29ac0000
bf16 41b9fc83 41ba 41ba0000
bf16 bdcab5ff bdcb bdcb0000
bf16 7b7214cb 7b72 7b720000
bf16 21c31cf0 21c3 21c30000
bf16 b2738c90 b274 b2740000
bf16 e27fe4db e280 e2800000
bf16 45296ac2 4529 45290000
bf16 6676e942 6677 66770000
bf16 54967531 5496 54960000
bf16 f88f5202 f88f f88f0000
bf16 afc7b417 afc8 afc80000
bf16 ef423fcb ef42 ef420000
bf16 9145d585 9146 91460000
bf16 7e9f3882 7e9f 7e9f0000
bf16 50191555 5019 50190000
bf16 a47e431e a47e a47e0000
bf16 04132caa 0413 04130000
bf16 7007dd21 7008 70080000
bf16 d87ec51c d87f d87f0000
bf16 6bdee716 6bdf 6bdf0000
bf16 a20fdba8 a210 a2100000
bf16 2c3899d7 2c39 2c390000
bf16 d32579f8 d325 d3250000
bf16 f6362b6d f636 f6360000
bf16 5f013d41 5f01 5f010000
bf16 d68a93cb d68b d68b0000
bf16 eb3d8ea5 eb3e eb3e0000
bf16 a6dbd3f1 a6dc a6dc0000
bf16 d956b26c d957 d9570000
bf16 1ccc2c14 1ccc 1ccc0000
bf16 ddff9eb2 de00 de000000
bf16 8c42bcea 8c43 8c430000
bf16 b637d142 b638 b6380000
bf16 8515607d 8515 85150000
bf16 019a7b7e 019a 019a0000
bf16 98e3fa64 98e4 98e40000
bf16 7961ade4 7962 79620000
bf16 443297c9 4433 44330000
bf16 f1985a66 f198 f1980000
bf16 b1e88e4e b1e9 b1e90000
bf16 aa26bdca aa27 aa270000
bf16 48abf50d 48ac 48ac0000
bf16 e4fc4302 e4fc e4fc0000
bf16 313853eb 3138 31380000
bf16 36fbc0fc 36fc 36fc0000
bf16 452a127e 452a 452a0000
bf16 13f7d9ea 13f8 13f80000
bf16 ec8a4605 ec8a ec8a0000
bf16 664f985e 6650 66500000
bf16 75242a57 7524 75240000
bf16 bae227e1 bae2 bae20000
bf16 ed1c889e ed1d ed1d0000
bf16 4dc0de34 4dc1 4dc10000
bf16 023c2851 023c 023c0000
bf16 c1ee2a89 c1ee c1ee0000
bf16 1f15d510 1f16 1f160000
bf16 4c16589d 4c16 4c160000
bf16 4f487ccf 4f48 4f480000
bf16 97bb78ab 97bb 97bb0000
bf16 c3e6b60f c3e7 c3e70000
bf16 1b5234f8 1b52 1b520000
bf16 2ac62108 2ac6 2ac60000
bf16 5fea8426 5feb 5feb0000
bf16 c656a2fb c657 c6570000
bf16 a576a3cd a577 a5770000
bf16 dfc25800 dfc2 dfc20000
bf16 86137d37 8613 86130000
bf16 ac79a874 ac7a ac7a0000
bf16 cb94921c cb95 cb950000
bf16 a0b62616 a0b6 a0b60000
bf16 3b8852ac 3b88 3b880000
bf16 7694bcfe 7695 76950000
bf16 e690d63d e691 e6910000
bf16 1be86d6d 1be8 1be80000
bf16 400dfd4c 400e 400e0000
bf16 59ffffed 5a00 5a000000
bf16 e2d0af14 e2d1 e2d10000
bf16 dedcfc96 dedd dedd0000
bf16 463aa681 463b 463b0000
bf16 bc0842e5 bc08 bc080000
bf16 7230fe74 7231 72310000
bf16 b02a72fd b02a b02a0000
bf16 98234c27 9823 98230000
bf16 98601161 9860 98600000
bf16 4958adb2 4959 49590000
bf16 a25c5bfe a25c a25c0000
bf16 97ca2bfa 97ca 97ca0000
bf16 05e4a592 05e5 05e50000
bf16 946bec12 946c 946c0000
bf16 2eba4d06 2eba 2eba0000
bf16 4908d4c6 4909 49090000
bf16 6d8c4f06 6d8c 6d8c0000
bf16 580ac8f7 580b 580b0000
bf16 57a628dd 57a6 57a60000
bf16 4f62a2b0 4f63 4f630000
bf16 00c9425b 00c9 00c90000
bf16 7ade3c39 7ade 7ade0000
bf16 21425674 2142 21420000
bf16 a5402a6c a540 a5400000
bf16 e8eea8a3 e8ef e8ef0000
bf16 075d78cb 075d 075d0000
bf16 8a8045b3 8a80 8a800000
bf16 5c3b22b7 5c3b 5c3b0000
bf16 fbdaad1e fbdb fbdb0000
bf16 8f8e4cb5 8f8e 8f8e0000
bf16 0d5d1fa5 0d5d 0d5d0000
bf16 35500c61 3550 35500000
bf16 3b7431d6 3b74 3b740000
bf16 d3f3bf72 d3f4 d3f40000
bf16 b65e6b83 b65e b65e0000
bf16 feccf0c1 fecd fecd0000
bf16 09d3cb8c 09d4 09d40000
bf16 87c8440c 87c8 87c80000
bf16 64a9bd3c 64aa 64aa0000
bf16 7c2171a0 7c21 7c210000
bf16 5ef50dc9 5ef5 5ef50000
bf16 c4441333 c444 c4440000
bf16 b922bb19 b923 b9230000
bf16 b45e4de9 b45e b45e0000
bf16 8e9360a1 8e93 8e930000
bf16 691b7691 691b 691b0000
bf16 3ef8289d 3ef8 3ef80000
bf16 013d9c30 013e 013e0000
bf16 45a2b49d 45a3 45a30000
bf16 03eaa309 03eb 03eb0000
bf16 40ef4474 40ef 40ef0000
bf16 1b4f8ffe 1b50 1b500000
bf16 95538911 9554 95540000
bf16 8e2a45fb 8e2a 8e2a0000
bf16 894c4f44 894c 894c0000
bf16 ae7acf0c ae7b ae7b0000
bf16 a306c8fc a307 a3070000
bf16 3f441073 3f44 3f440000
bf16 5e02f3b6 5e03 5e030000
bf16 27fea998 27ff 27ff0000
bf16 6c7cf96f 6c7d 6c7d0000
bf16 2e281ceb 2e28 2e280000
bf16 d3504906 d350 d3500000
bf16 e1140429 e114 e1140000
bf16 c951c911 c952 c9520000
bf16 35570ccc 3557 35570000
bf16 896703b1 8967 89670000
bf16 21659e13 2166 21660000
bf16 95516038 9551 95510000
bf16 b7607216 b760 b7600000
bf16 b41ce834 b41d b41d0000
bf16 c210701e c210 c2100000
bf16 ce0ac9d1 ce0b ce0b0000
bf16 4b60e296 4b61 4b610000
bf16 59cb22cd 59cb 59cb0000
bf16 2f11dc27 2f12 2f120000
bf16 ab03efb4 ab04 ab040000
bf16 483683b6 4837 48370000
bf16 cc05412e cc05 cc050000
bf16 a2856b63 a285 a2850000
