# dtype count scale_hex data_hex scale_bits... | back_bits...
mxfp8 17 d9 7e00000000000000000000000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 31 7c 7691322011d5dc2731d6dd4dc49117f23b7e32c098b56bd91656a9d6e7f7ce 41e3b79f,bb8e48ac,3da44c93,3c7acbd3,3b97762a,bfc80114,c040bddf,3cf19a09,3d971dbe,bfe0c54e,c04ff9ec,3f4b0787,bec1467e,bb89c91a,3bee560a,c1a17858,3e30efd6,4266b848,3da3d4c3,be85ac5a,bbfea6ac,bdcbabcc,412e8830,c010b484,3be731d9,3fe1e85d,bd169c4d,bfe37c56,c0e986c5,c1e9c3e2,bf66b1ab 3e000000 43600000,bd100000,3f200000,3e000000,3d100000,c1500000,c1c00000,3e700000,3f100000,c1600000,c1d00000,40d00000,c0400000,bd100000,3d700000,c3200000,3fb00000,43e00000,3f200000,c0000000,bd800000,bf500000,42b00000,c1900000,3d600000,41600000,be900000,c1600000,c2700000,c3700000,c0e00000
mxfp8 31 bd 8080000000008080808080808080800080008080007e008080807e80008080 d63291a1,bf3746b7,4e41325d,389f166a,5363913d,516979cd,bfe7643c,cd242047,c205e470,a4b708ed,a05ccfc1,bbc97138,b3d73ad9,bd00db90,ad1a49cf,35e1cce7,a58c939f,499e58a8,d1ecee96,b1cf23ee,3acdc254,6356cd29,5271f341,d128da4b,a7949ddd,cc7d14ef,63277469,d1c6699d,24c6dc06,cea18064,af96c293 5e800000 80000000,80000000,00000000,00000000,00000000,00000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,00000000,80000000,00000000,80000000,80000000,00000000,43e00000,00000000,80000000,80000000,80000000,43e00000,80000000,00000000,80000000,80000000
mxfp8 31 ef 8000f100007e803c0000808000808000800080800080800080808000008000 b0cd3d2d,35e7c60e,fb0b8169,558fdc9b,427cee21,7c431ed7,c9784aca,77c3d9e8,14a8c37f,25a8e8d8,cf036ef6,bd2ddbf1,00d11f2a,8eba9d0e,9bf582c4,585ea74a,a0548d27,63e4c033,d2e9e31a,dc821e5f,0b0d86d9,87caed0d,890ff1cc,4df6842c,cf77d59b,cf576b2d,85c9c1a6,30bc3cb6,66b2ab7e,ba4b80cd,1c1bb753 77800000 80000000,00000000,c3100000,00000000,00000000,43e00000,80000000,3fc00000,00000000,00000000,80000000,80000000,00000000,80000000,80000000,00000000,80000000,00000000,80000000,80000000,00000000,80000000,80000000,00000000,80000000,80000000,80000000,00000000,00000000,80000000,00000000
mxfp8 31 78 75fef4fef6fe7ef4f47eeceb76e9f473776e727cf6fb71fdfdfb6fec6c7677 3fd6bc50,c068cbc6,bfc39cd5,c060ae1b,bfd99cc1,c072df43,407e92fd,bfbf557d,bfc2f7bf,407a3a53,bf43f9f0,bf2eef5a,3fdb959e,bf0cea09,bfc7f545,3faf7470,3ff10f54,3f5e573f,3fa4a511,403e6851,bfe51c2f,c02cb8bb,3f8c3fe4,c0509048,c055747d,c034ccda,3f6d4005,bf3a9d87,3f38ad1c,3fdad8a4,3ff41af9 3c000000 43500000,c3e00000,c3400000,c3e00000,c3600000,c3e00000,43e00000,c3400000,c3400000,43e00000,c2c00000,c2b00000,43600000,c2900000,c3400000,43300000,43700000,42e00000,43200000,43c00000,c3600000,c3b00000,43100000,c3d00000,c3d00000,c3b00000,42f00000,c2c00000,42c00000,43600000,43700000
mxfp8 31 7f 00000000000000000000000000000000000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 31 76 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 31 d9 7e000000000000000000000000000000000000000000000000000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 32 7c 6ca8db93afc27d9bb2c26431ae8f65432ff1b30bf4196545d48c4d25fafe44b5 4144d406,bcf9450f,c02a9485,bbb0cbaa,bd6f7a46,bea4b853,4250face,bc338a18,bd9e6665,bea5ffaf,40c32930,3d954eb1,bd65db12,bb744372,40d19d50,3eb7859a,3d75321e,c18bdb8f,bdafb84d,3b2f2fff,c1c45082,3c0eff2e,40cbd45e,3ed2b264,bfbdc533,bb387093,3f4f80f9,3ccb399c,c219c746,c26aeb85,3ebeafeb,bdd49c3f 3e000000 42c00000,be800000,c1b00000,bd300000,bef00000,c0200000,43d00000,bdb00000,bf200000,c0200000,42400000,3f100000,bee00000,bcf00000,42500000,40300000,3ef00000,c3100000,bf300000,3cb00000,c3400000,3d900000,42500000,40500000,c1400000,bcc00000,40d00000,3e500000,c3a00000,c3e00000,40400000,bf500000
mxfp8 32 bd 80e7007300000000007e800b8000805600800000800081000000653e00800080 b8a2a762,e172a8b0,48e07198,6233d075,58ca99eb,253d23ee,46f9a804,31dd1502,27ee8187,6328b142,a8b4f607,5bb38acf,d97dbe6d,374ba1e2,c5f8fc11,60634b02,39914403,c3e4e49f,517c1ae8,3f635902,b464762a,45608bac,da22040d,49d6e534,34390601,55d6c221,615571c6,5ee4d34c,2816db73,bf5fa5a2,542d9edb,c87554e9 5e800000 80000000,c2700000,00000000,43300000,00000000,00000000,00000000,00000000,00000000,43e00000,80000000,3cb00000,80000000,00000000,80000000,41600000,00000000,80000000,00000000,00000000,80000000,00000000,bb000000,00000000,00000000,00000000,42500000,3fe00000,00000000,80000000,00000000,80000000
mxfp8 32 f1 000000d580008000fe00808000800000804e00808080000000003a0080008080 22446a99,406cefdf,7194c3cc,fa4eff33,cd49cf97,0ae61837,afc0a4b8,1a3aba9f,fcfe21f1,6f1b81a9,af8f4b26,9b926af8,6ddf8a2b,80a9bb64,59bcf531,4fea2b5a,cb36f600,79d97632,5092c4a8,cbb4265a,ac0c2ca5,aa3e0d95,69aaa2f1,3b9f4cfa,203c3664,58612965,78a78a41,15e0279b,b249d986,2ddac670,c23f1719,deead60f 78800000 00000000,00000000,00000000,c1500000,80000000,00000000,80000000,00000000,c3e00000,00000000,80000000,80000000,00000000,80000000,00000000,00000000,80000000,40e00000,00000000,80000000,80000000,80000000,00000000,00000000,00000000,00000000,3fa00000,00000000,80000000,00000000,80000000,80000000
mxfp8 32 78 74fef8f36d79f7fefc77fe77f1fef36e777e6e737c74f472776df56feb6b6cec 3fba2410,c0672466,bff95644,bfb56332,3f52749e,40104bf9,bfeef5a4,c069e3a6,c0437df6,3ff69afc,c0622dcf,3ff1240f,bf8ee4cd,c05d3f8a,bfafb625,3f6054bf,3fead9f5,406ed5ba,3f5cca4f,3fa8a78a,40405ac2,3fc32543,bfbdb3ca,3fa2e730,3ff07515,3f4c07c3,bfce4477,3f6af54c,bf2d25eb,3f29c34f,3f41fa5d,bf3defc8 3c000000 43400000,c3e00000,c3800000,c3300000,42d00000,43900000,c3700000,c3e00000,c3c00000,43700000,c3e00000,43700000,c3100000,c3e00000,c3300000,42e00000,43700000,43e00000,42e00000,43300000,43c00000,43400000,c3400000,43200000,43700000,42d00000,c3500000,42f00000,c2b00000,42b00000,42c00000,c2c00000
mxfp8 32 7f 0000000000000000000000000000000000000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 32 76 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 32 d9 7e00000000000000000000000000000000000000000000000000000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 33 7c79 feaab3d6648e3d30f3f7c968458a70479ed7226335674e156ff2f6e29ed14b787e c27b1632,bd21b9bb,bdb23b55,bfe26d0b,40c51041,bb666ce8,3e54dc23,3d78fc9e,c1affffe,c1ef2296,bf1101ba,40fef067,3ed04d03,bb242130,418410aa,3ef0055b,bc58587c,bfeba7d5,3ca271a7,40ac52a6,3dd333a7,40f676e8,3f5f33fb,3bd6e59e,416b42b6,c1a6c665,c1d92741,c09cd5cf,bc5ddd64,bf8c6962,3f3651c8,4205576a,4101ee78 3e000000,3c800000 c3e00000,bea00000,bf300000,c1600000,42400000,bce00000,3fd00000,3f000000,c3300000,c3700000,c0900000,42800000,40500000,bca00000,43000000,40700000,bde00000,c1700000,3e200000,42300000,3f500000,42700000,40e00000,3d500000,42f00000,c3200000,c3600000,c2200000,bde00000,c1100000,40b00000,43800000,43e00000
mxfp8 33 bd40 80140080808000007e00800080803981008000d4000080805700000080800000fe ce18d3cf,5c442228,3971c23b,cfe88e4e,c826bdca,c986c97b,4f3853eb,54fbc0fc,632a127e,31f7d9ea,a853346a,2f757535,c6bacf8a,bae13d5b,5e94fcad,da0ab325,3d15d510,b412bd18,5017a4ad,e043ad11,395234f8,48c62108,d646785c,c376a3cd,606eea7d,316c935b,32c395cd,54474c36,a613bc54,b2b6f699,2ecc9a68,24c018a0,a4d99d62 5e800000,20000000 80000000,3d400000,00000000,80000000,80000000,80000000,00000000,00000000,43e00000,00000000,80000000,00000000,80000000,80000000,3f900000,bb000000,00000000,80000000,00000000,c1400000,00000000,00000000,80000000,80000000,41700000,00000000,00000000,00000000,80000000,80000000,00000000,00000000,c3e00000
mxfp8 33 ef2e 80fe0000000000a280808280807b000000008080808080808000768039808080fe 8762e17a,fc5e8634,70c6789c,1c3c76a5,5b721d9b,293048c6,48985f3a,f618648b,ddc96a13,9922585c,f397d33a,d805a2ef,b0141f23,7baeab95,0a4933c9,0dedf969,17586be7,25d7a4f9,8acf1f61,b680f7ab,83fae2c0,862162ff,82251b6d,c4e8be55,e40722b8,030afde3,7b5c6890,9ffbaa68,778fde03,e30d2d7c,beb56d73,b23b603a,9bd3ce53 77800000,17000000 80000000,c3e00000,00000000,00000000,00000000,00000000,00000000,be200000,80000000,80000000,bb800000,80000000,80000000,43b00000,00000000,00000000,00000000,00000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,00000000,43600000,80000000,3f900000,80000000,80000000,80000000,c3e00000
mxfp8 33 7876 fb7e7afef2f1f47cf6e969706cf0f4f2e979f9f8f07478786bf5ed7e7cfaf1f6fe c0367dae,4074a412,4025dc7f,c060ae4a,bfa16b89,bf8b3941,bfc412ee,40397b8f,bfde4de9,bf1360a1,3f154bea,3f8115a2,3f459f01,bf83e0e0,bfc09e90,bf9b76f0,bf1579aa,400e63bb,c0090144,bffacf0c,bf86c8fc,3fc41073,4002f3b6,3ffea998,3f2e3478,bfd34931,bf56b4c0,406ba796,403bfa6c,c0215680,bf955c4f,bfe07216,bf9ce834 3c000000,3b000000 c3b00000,43e00000,43a00000,c3e00000,c3200000,c3100000,c3400000,43c00000,c3600000,c2900000,42900000,43000000,42c00000,c3000000,c3400000,c3200000,c2900000,43900000,c3900000,c3800000,c3000000,43400000,43800000,43800000,42b00000,c3500000,c2d00000,43e00000,43c00000,c3a00000,c3100000,c3600000,c3e00000
mxfp8 33 7f7f 000000000000000000000000000000000000000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000,3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 33 7676 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000,3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 33 d974 7e000000000000000000000000000000000000000000000000000000000000007e 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000,3a000000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43e00000
